,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,PP,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,2.5,700,184,0.5700000000000001,0,84566.5537,0,89243.5591,89243.5591,2.1342429574239703,316409.8722,0,319326.7975,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,6.2543,6.2543,5.7965,5.2881,41258.979,64244.7262,45863.1766,235933.4355,0,45226.1885,64244.7262,47870.8797,246585.3535,0
1,1,60,2.5,700,184,0.5900000000000001,0,84566.5537,0,134557.7916,134557.7916,3.1418386621405756,316409.8722,0,319326.7975,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,6.2543,6.2543,5.7965,5.1088,41258.979,64244.7262,45863.1766,235933.4355,0,46813.0723,64244.7262,67289.6332,312905.2234,0
2,2,70,2.5,700,184,0.5900000000000001,0,84566.5537,0,174927.131,174927.131,4.039461079280394,316409.8722,0,319326.7975,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,6.2543,6.2543,5.7965,5.1088,41258.979,64244.7262,45863.1766,235933.4355,0,46813.0723,64244.7262,84588.046,370572.9756,0
3,3,80,2.5,700,184,0.5900000000000001,0,84566.5537,0,215296.4705,215296.4705,4.9370834964202155,316409.8722,0,319326.7975,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,6.2543,6.2543,5.7965,5.1088,41258.979,64244.7262,45863.1766,235933.4355,0,46813.0723,64244.7262,101886.4588,428240.7278,0
4,4,50,2.5,700,244,0.5700000000000001,0,82222.5907,0,86674.2151,86674.2151,2.077140377543083,316409.8722,0,346393.225,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,6.7915,6.7915,5.7965,5.2881,44605.7311,64244.7262,44860.3874,235933.4355,0,48894.7437,64244.7262,46771.6685,246585.3535,0
5,5,60,2.5,700,244,0.5900000000000001,0,82222.5907,0,131898.2952,131898.2952,3.0827324829656213,316409.8722,0,346393.225,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,6.7915,6.7915,5.7965,5.1088,44605.7311,64244.7262,44860.3874,235933.4355,0,50610.3488,64244.7262,66151.8531,312905.2234,0
6,6,70,2.5,700,244,0.5900000000000001,0,82222.5907,0,172267.6346,172267.6346,3.9803549001054424,316409.8722,0,346393.225,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,6.7915,6.7915,5.7965,5.1088,44605.7311,64244.7262,44860.3874,235933.4355,0,50610.3488,64244.7262,83450.2659,370572.9756,0
7,7,80,2.5,700,244,0.5900000000000001,0,82222.5907,0,212636.9741,212636.9741,4.8779773172452625,316409.8722,0,346393.225,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,6.7915,6.7915,5.7965,5.1088,44605.7311,64244.7262,44860.3874,235933.4355,0,50610.3488,64244.7262,100748.6787,428240.7278,0
8,8,50,2.5,700,304,0.5700000000000001,0,79878.6278,0,84104.8711,84104.8711,2.020037797662195,316409.8722,0,373459.6524,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.3287,7.3287,5.7965,5.2881,47952.4833,64244.7262,43857.5982,235933.4355,0,52563.299,64244.7262,45672.4572,246585.3535,0
9,9,60,2.5,700,304,0.5900000000000001,0,79878.6278,0,129238.7988,129238.7988,3.023626303790668,316409.8722,0,373459.6524,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.3287,7.3287,5.7965,5.1088,47952.4833,64244.7262,43857.5982,235933.4355,0,54407.6253,64244.7262,65014.0731,312905.2234,0
10,10,70,2.5,700,304,0.5900000000000001,0,79878.6278,0,169608.1382,169608.1382,3.9212487209304885,316409.8722,0,373459.6524,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.3287,7.3287,5.7965,5.1088,47952.4833,64244.7262,43857.5982,235933.4355,0,54407.6253,64244.7262,82312.4858,370572.9756,0
11,11,80,2.5,700,304,0.5900000000000001,0,79878.6278,0,209977.4777,209977.4777,4.818871138070307,316409.8722,0,373459.6524,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.3287,7.3287,5.7965,5.1088,47952.4833,64244.7262,43857.5982,235933.4355,0,54407.6253,64244.7262,99610.8986,428240.7278,0
12,12,50,2.5,700,364,0.5700000000000001,0,77534.6649,0,81535.5271,81535.5271,1.962935217781307,316409.8722,0,400526.0799,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.8658,7.8658,5.7965,5.2881,51299.2354,64244.7262,42854.8089,235933.4355,0,56231.8542,64244.7262,44573.2459,246585.3535,0
13,13,60,2.5,700,364,0.5900000000000001,0,77534.6649,0,126579.3024,126579.3024,2.9645201246157122,316409.8722,0,400526.0799,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.8658,7.8658,5.7965,5.1088,51299.2354,64244.7262,42854.8089,235933.4355,0,58204.9018,64244.7262,63876.293,312905.2234,0
14,14,70,2.5,700,364,0.5900000000000001,0,77534.6649,0,166948.6419,166948.6419,3.8621425417555337,316409.8722,0,400526.0799,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.8658,7.8658,5.7965,5.1088,51299.2354,64244.7262,42854.8089,235933.4355,0,58204.9018,64244.7262,81174.7057,370572.9756,0
15,15,80,2.5,700,364,0.5900000000000001,0,77534.6649,0,207317.9813,207317.9813,4.759764958895353,316409.8722,0,400526.0799,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.8658,7.8658,5.7965,5.1088,51299.2354,64244.7262,42854.8089,235933.4355,0,58204.9018,64244.7262,98473.1185,428240.7278,0
16,16,50,2.5,700,424,0.5700000000000001,0,75190.702,0,78966.1832,78966.1832,1.905832637900418,316409.8722,0,427592.5073,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,8.403,8.403,5.7965,5.2881,54645.9876,64244.7262,41852.0197,235933.4355,0,59900.4095,64244.7262,43474.0347,246585.3535,0
17,17,60,2.5,700,424,0.5900000000000001,0,75190.702,0,123919.806,123919.806,2.9054139454407584,316409.8722,0,427592.5073,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,8.403,8.403,5.7965,5.1088,54645.9876,64244.7262,41852.0197,235933.4355,0,62002.1782,64244.7262,62738.5129,312905.2234,0
18,18,70,2.5,700,424,0.5900000000000001,0,75190.702,0,164289.1455,164289.1455,3.80303636258058,316409.8722,0,427592.5073,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,8.403,8.403,5.7965,5.1088,54645.9876,64244.7262,41852.0197,235933.4355,0,62002.1782,64244.7262,80036.9257,370572.9756,0
19,19,80,2.5,700,424,0.5900000000000001,0,75190.702,0,204658.4849,204658.4849,4.700658779720397,316409.8722,0,427592.5073,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,8.403,8.403,5.7965,5.1088,54645.9876,64244.7262,41852.0197,235933.4355,0,62002.1782,64244.7262,97335.3384,428240.7278,0
